,H,Li,Be,B,C,N,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Pu
H,0.0,-25.0,2.0,4.7,-2.9,-18.0,-16.0,-17.7,-7.8,-2.2,0.8,-16.0,-41.2,-56.7,-52.4,-38.0,-27.7,-33.7,-23.2,-23.0,-22.8,-13.6,-7.6,-7.6,-2.3,-1.0,-16.0,-40.4,-56.3,-65.0,-44.8,-27.3,-21.0,-19.8,-23.5,-27.1,-9.6,-6.0,-5.8,-4.1,-1.0,-16.0,-40.6,-55.9,-56.1,-56.2,-56.2,-61.0,-56.4,-45.0,-56.3,-56.5,-56.4,-55.9,-56.6,-56.5,-56.4,-61.0,-60.1,-44.9,-23.4,-18.0,-19.0,-20.6,-24.3,-8.4,-3.0,-3.0,-0.5,0.0,-57.4,-53.0,-54.0
Li,-25.0,0.0,-5.0,-6.0,-61.0,-145.0,4.0,0.0,-4.0,-30.0,-45.5,11.0,-1.0,12.0,34.0,37.0,35.0,19.0,26.0,8.0,1.0,-5.0,-7.0,-9.0,-34.5,-29.0,13.0,0.0,8.0,27.0,51.0,49.0,8.0,5.0,-14.0,-40.0,-16.0,-13.0,-12.0,-18.0,-28.0,16.0,0.0,6.0,7.0,7.0,7.0,8.0,8.0,-1.0,8.0,9.0,9.0,8.0,9.0,9.0,-1.0,10.0,30.0,-48.0,50.0,29.0,11.0,-9.0,-33.0,-37.0,-19.0,-15.0,-21.0,-23.0,14.0,30.0,21.0
Be,2.0,-5.0,0.0,0.0,-14.9,-39.0,18.0,-3.1,0.2,2.2,-3.7,27.0,-13.6,-35.2,-30.0,-16.3,-7.2,-10.4,-3.7,-3.9,-4.2,-1.1,3.4,4.7,8.6,7.0,28.0,-9.6,-30.8,-42.0,-24.3,-6.7,-3.0,-3.1,-6.0,-8.0,6.2,11.0,15.3,14.4,18.0,29.0,-8.9,-28.1,-29.1,-30.0,-29.9,-33.0,-30.8,-12.0,-30.8,-31.6,-31.5,-30.7,-32.3,-32.2,-32.2,-35.0,-36.8,-24.1,-3.2,0.0,-2.0,-5.5,-9.8,-0.1,15.0,23.0,25.0,26.0,-35.8,-27.0,-25.0
B,4.7,-6.0,0.0,0.0,-10.2,-28.0,18.0,-3.7,0.1,3.3,0.5,27.0,-21.1,-53.9,-57.2,-42.0,-31.4,-32.4,-26.5,-24.2,-23.6,-6.4,4.1,5.6,11.5,10.0,28.0,-16.7,-48.9,-70.1,-53.9,-34.1,-25.0,-24.5,-25.2,-24.1,5.4,13.0,17.8,17.4,23.0,29.0,-15.9,-45.9,-47.0,-48.0,-47.9,-51.0,-49.0,-19.0,-48.9,-49.9,-49.8,-48.9,-50.7,-50.6,-50.5,-54.0,-64.9,-53.3,-30.7,-25.0,-24.0,-25.7,-27.8,-2.4,19.0,27.0,29.5,31.0,-55.7,-54.0,-50.0
C,-2.9,-61.0,-14.9,-10.2,0.0,-2.0,45.0,-52.9,-34.9,-21.3,-4.5,-43.0,-84.0,-114.6,-106.8,-81.2,-60.9,-65.5,-49.1,-41.9,-38.5,-38.4,-31.4,-32.4,-16.8,-14.0,-44.0,-82.3,-112.7,-128.0,-99.8,-65.8,-39.0,-35.1,-35.0,-31.9,-31.7,-27.0,-25.9,-22.5,-13.0,-43.0,-82.5,-111.2,-111.8,-112.3,-112.1,-118.0,-112.8,-87.0,-112.7,-113.4,-113.1,-111.9,-113.6,-113.3,-113.1,-119.0,-119.9,-99.0,-59.1,-42.0,-35.0,-31.7,-30.2,-19.6,-20.0,-19.0,-12.2,-12.0,-118.9,-105.0,-102.0
N,-18.0,-145.0,-39.0,-28.0,-2.0,0.0,-141.0,-134.0,-92.0,-81.0,-24.5,-152.0,-201.0,-224.0,-190.0,-143.0,-107.0,-119.0,-87.0,-75.0,-69.0,-84.0,-88.0,-95.0,-78.5,-59.0,-154.0,-206.0,-232.0,-233.0,-174.0,-115.0,-68.0,-61.0,-63.0,-62.0,-94.0,-91.0,-98.0,-90.0,-74.0,-155.0,-212.0,-235.0,-234.0,-233.0,-235.0,-233.0,-202.0,-231.0,-232.0,-232.0,-231.0,-229.0,-230.0,-229.0,-199.0,-231.0,-218.0,-173.0,-103.0,-72.0,-60.0,-54.0,-52.0,-58.0,-81.0,-91.0,-82.0,-80.0,-237.0,-189.0,-188.0
Na,-16.0,4.0,18.0,18.0,45.0,-141.0,0.0,10.0,13.0,-11.0,-26.5,1.0,1.0,34.0,68.0,73.0,71.0,49.0,62.0,41.0,32.0,16.0,6.0,5.0,-21.5,-14.0,2.0,-2.0,28.0,59.0,93.0,93.0,47.0,44.0,19.0,-15.0,0.0,-3.0,-5.0,-8.0,-20.0,3.0,-3.0,24.0,25.0,26.0,26.0,28.0,28.0,0.0,28.0,29.0,29.0,28.0,30.0,30.0,2.0,31.0,63.0,89.0,97.0,73.0,52.0,28.0,-1.0,-14.0,-11.0,-11.0,-18.0,-20.0,39.0,65.0,49.0
Mg,-17.7,0.0,-3.1,-3.7,-52.9,-134.0,10.0,0.0,-1.9,-9.1,-39.3,20.0,-5.6,-3.4,15.8,23.1,23.6,10.0,17.5,2.8,-3.6,-4.4,-3.5,-4.3,-14.3,-21.0,23.0,-3.9,-6.0,5.7,31.7,35.8,3.0,0.0,-16.9,-39.9,-10.4,-6.0,-3.8,-8.6,-16.0,25.0,-3.5,-6.9,-6.6,-6.4,-6.3,-6.0,-6.0,-5.0,-6.0,-5.7,-5.6,-5.5,-5.3,-5.2,-5.2,-5.0,9.7,29.6,38.1,21.0,5.0,-12.7,-34.7,-31.5,-10.0,-3.0,-8.1,-10.0,-2.8,14.0,6.0
Al,-7.8,-4.0,0.2,0.1,-34.9,-92.0,13.0,-1.9,0.0,-2.3,-21.0,23.0,-20.1,-37.7,-29.5,-16.3,-9.9,-19.1,-11.1,-18.8,-22.3,-7.6,0.6,0.9,-2.0,-6.0,25.0,-17.4,-38.1,-43.7,-18.2,-5.1,-20.0,-21.2,-31.9,-45.8,-4.4,3.0,6.6,4.0,2.0,26.0,-17.0,-37.8,-37.9,-38.1,-38.0,-39.0,-38.2,-19.0,-38.1,-38.3,-38.1,-37.6,-38.2,-38.1,-38.0,-39.0,-38.5,-19.2,-2.0,-9.0,-18.0,-29.5,-44.2,-21.6,4.0,11.0,10.0,10.0,-39.4,-30.0,-33.0
Si,-2.2,-30.0,2.2,3.3,-21.3,-81.0,-11.0,-9.1,-2.3,0.0,-9.0,4.0,-33.7,-56.3,-49.0,-31.2,-20.4,-28.3,-17.7,-21.2,-22.9,-9.2,-0.9,-0.4,2.3,-17.0,4.0,-31.3,-56.0,-66.3,-38.8,-18.4,-38.0,-21.0,-28.8,-37.8,-3.3,-13.0,6.8,6.2,-8.0,-3.0,-31.2,-55.1,-55.4,-55.8,-55.6,-74.0,-56.0,-49.0,-56.0,-56.3,-56.1,-55.2,-56.4,-56.1,-56.0,-75.0,-59.9,-39.2,-14.1,-31.0,-36.0,-26.2,-36.5,-13.0,-10.0,-4.0,14.5,-2.0,-59.1,-66.0,-66.0
P,0.8,-45.5,-3.7,0.5,-4.5,-24.5,-26.5,-39.3,-21.0,-9.0,0.0,-24.5,-80.2,-111.9,-100.7,-71.1,-50.1,-57.5,-39.9,-36.0,-34.3,-26.3,-17.8,-18.3,-4.6,-2.5,-24.5,-79.1,-112.3,-127.8,-90.4,-53.7,-33.5,-30.9,-34.6,-36.7,-18.3,-11.5,-10.2,-7.4,2.5,-24.5,-80.0,-111.6,-112.0,-112.3,-112.0,-114.5,-112.5,-79.5,-112.3,-112.8,-112.3,-110.9,-112.7,-112.2,-111.9,-114.5,-118.0,-90.0,-46.4,-32.5,-29.5,-30.8,-34.6,-13.3,-4.5,-1.5,4.7,5.5,-119.0,-98.5,-95.5
K,-16.0,11.0,27.0,27.0,-43.0,-152.0,1.0,20.0,23.0,4.0,-24.5,0.0,12.0,58.0,94.0,96.0,91.0,66.0,81.0,55.0,45.0,25.0,13.0,12.0,-19.5,-11.0,0.0,7.0,50.0,88.0,123.0,120.0,65.0,60.0,31.0,-9.0,7.0,1.0,-4.0,-7.0,-22.0,0.0,6.0,46.0,47.0,49.0,49.0,51.0,50.0,10.0,50.0,52.0,51.0,51.0,53.0,52.0,12.0,55.0,92.0,119.0,124.0,95.0,70.0,42.0,9.0,-9.0,-10.0,-13.0,-21.0,-24.0,65.0,93.0,72.0
Ca,-41.2,-1.0,-13.6,-21.1,-84.0,-201.0,1.0,-5.6,-20.1,-33.7,-80.2,12.0,0.0,17.2,42.2,42.9,36.9,18.9,24.8,2.4,-7.3,-12.2,-21.3,-27.4,-46.1,-61.0,15.0,0.5,10.9,36.6,62.3,55.4,1.0,-3.5,-27.4,-62.1,-27.9,-32.0,-35.0,-44.2,-62.0,19.0,0.9,8.0,8.9,9.9,9.9,11.0,10.9,0.0,10.9,11.9,11.8,11.4,12.9,12.8,12.8,14.0,38.7,59.1,56.4,28.0,4.0,-22.0,-53.6,-59.0,-43.0,-40.0,-51.4,-56.0,18.9,37.0,24.0
Sc,-56.7,12.0,-35.2,-53.9,-114.6,-224.0,34.0,-3.4,-37.7,-56.3,-111.9,58.0,17.2,0.0,7.5,7.1,0.7,-8.3,-11.4,-29.4,-38.1,-23.9,-29.2,-37.5,-56.7,-77.0,64.0,24.5,0.9,4.1,17.8,10.5,-39.0,-43.3,-60.4,-85.5,-28.3,-30.0,-30.2,-45.1,-61.0,70.0,27.3,2.1,1.6,1.3,1.3,1.0,0.9,21.0,0.9,0.6,0.6,0.7,0.4,0.4,0.4,0.0,5.1,15.8,9.2,-17.0,-39.0,-61.4,-88.0,-73.7,-37.0,-28.0,-39.8,-46.0,0.0,3.0,-1.0
Ti,-52.4,34.0,-30.0,-57.2,-106.8,-190.0,68.0,15.8,-29.5,-49.0,-100.7,94.0,42.2,7.5,0.0,-1.7,-7.5,-8.2,-16.8,-28.3,-34.5,-8.9,-14.8,-23.1,-39.5,-60.0,100.0,52.5,15.1,-0.2,2.0,-3.6,-39.0,-43.2,-51.9,-64.5,-1.5,-8.0,-5.5,-21.3,-33.0,104.0,56.1,19.5,18.0,16.5,16.5,15.0,15.1,48.0,15.1,13.8,13.7,14.0,12.5,12.4,12.4,11.0,0.2,1.4,-5.7,-25.0,-41.0,-57.1,-74.4,-47.4,-10.0,2.0,-7.7,-14.0,8.4,0.0,2.0
V,-38.0,37.0,-16.3,-42.0,-81.2,-143.0,73.0,23.1,-16.3,-31.2,-71.1,96.0,42.9,7.1,-1.7,0.0,-2.0,-0.7,-7.1,-14.0,-18.0,5.0,-1.6,-8.0,-18.8,-35.0,100.0,52.6,16.6,-3.7,-1.0,0.0,-21.0,-24.7,-29.4,-35.3,16.9,9.0,11.9,-0.9,-8.0,103.0,55.8,21.8,20.0,18.3,18.2,16.0,16.6,49.0,16.6,15.0,14.9,15.4,13.4,13.4,13.3,11.0,-2.2,-1.0,-0.8,-13.0,-23.0,-34.4,-45.6,-19.2,10.0,22.0,15.1,10.0,8.5,1.0,4.0
Cr,-27.7,35.0,-7.2,-31.4,-60.9,-107.0,71.0,23.6,-9.9,-20.4,-50.1,91.0,36.9,0.7,-7.5,-2.0,0.0,2.1,-1.5,-4.5,-6.7,12.5,4.7,-0.6,-6.3,-19.0,94.0,46.0,11.0,-12.0,-7.2,0.4,-9.0,-11.5,-13.4,-14.6,27.0,17.0,20.2,10.0,7.0,97.0,48.7,16.6,14.7,12.8,12.8,10.0,11.0,43.0,11.0,9.3,9.3,9.9,7.6,7.6,7.5,5.0,-9.3,-6.7,1.0,-4.0,-11.0,-17.8,-24.5,-0.2,21.0,31.0,27.6,24.0,2.1,-3.0,2.0
Mn,-33.7,19.0,-10.4,-32.4,-65.5,-119.0,49.0,10.0,-19.1,-28.3,-57.5,66.0,18.9,-8.3,-8.2,-0.7,2.1,0.0,0.2,-5.2,-8.2,3.8,-6.4,-12.9,-19.0,-31.0,69.0,26.0,-1.4,-15.3,-15.3,4.9,-8.0,-10.7,-16.2,-22.6,12.7,2.0,2.6,-6.9,-11.0,71.0,28.0,2.5,1.1,-0.2,-0.2,-2.0,-1.4,23.0,-1.4,-2.6,-2.6,-2.0,-3.8,-3.8,-3.8,-6.0,-11.9,-3.8,6.3,-1.0,-9.0,-18.2,-28.3,-11.3,-4.0,11.0,6.8,3.0,-7.6,-5.0,-4.0
Fe,-23.2,26.0,-3.7,-26.5,-49.1,-87.0,62.0,17.5,-11.1,-17.7,-39.9,81.0,24.8,-11.4,-16.8,-7.1,-1.5,0.2,0.0,-0.6,-1.6,12.9,3.6,-1.7,-3.4,-14.0,83.0,33.4,-1.1,-24.6,-15.7,-2.0,-3.0,-4.6,-5.4,-4.3,28.1,17.0,18.9,10.6,10.0,85.0,35.6,4.4,2.5,0.7,0.7,-2.0,-1.1,30.0,-1.1,-2.9,-2.9,-2.0,-4.6,-4.5,-4.5,-7.0,-20.5,-15.0,0.0,0.0,-4.0,-8.8,-13.0,8.0,22.0,31.0,29.0,26.0,-10.5,-11.0,-6.0
Co,-23.0,8.0,-3.9,-24.2,-41.9,-75.0,41.0,2.8,-18.8,-21.2,-36.0,55.0,2.4,-29.4,-28.3,-14.0,-4.5,-5.2,-0.6,0.0,-0.2,6.4,-5.1,-11.0,-9.1,-18.0,57.0,9.2,-21.2,-40.3,-24.5,-4.9,0.0,-0.7,-2.1,-1.5,19.0,6.0,6.6,0.2,2.0,58.0,10.8,-16.6,-18.2,-19.7,-19.7,-23.0,-21.2,7.0,-21.2,-22.7,-22.6,-21.6,-24.0,-23.9,-23.9,-27.0,-34.7,-23.9,-1.4,2.0,0.0,-3.5,-7.2,7.2,12.0,18.0,17.2,14.0,-29.6,-23.0,-19.0
Ni,-22.8,1.0,-4.2,-23.6,-38.5,-69.0,32.0,-3.6,-22.3,-22.9,-34.3,45.0,-7.3,-38.1,-34.5,-18.0,-6.7,-8.2,-1.6,-0.2,0.0,3.6,-8.8,-15.0,-11.3,-19.0,47.0,-1.0,-30.6,-48.4,-29.9,-7.3,1.0,0.5,-0.9,-0.1,15.5,2.0,1.7,-3.9,-1.0,-48.0,0.2,-26.2,-27.7,-29.2,-29.1,-32.0,-30.6,-3.0,-30.6,-32.0,-31.8,-30.8,-33.2,-33.1,-33.0,-36.0,-42.2,-29.2,-3.2,2.0,1.0,-1.5,-4.7,7.1,8.0,13.0,12.9,10.0,-38.8,-29.0,-25.0
Cu,-13.6,-5.0,-1.1,-6.4,-38.4,-84.0,16.0,-4.4,-7.6,-9.2,-26.3,25.0,-12.2,-23.9,-8.9,5.0,12.5,3.8,12.9,6.4,3.6,0.0,-3.7,-5.5,-6.7,-3.0,27.0,-8.7,-21.8,-22.6,2.6,18.5,8.0,7.0,-2.5,-13.6,2.2,6.0,2.4,-1.0,7.0,28.0,-8.2,-20.2,-20.8,-21.3,-21.3,-23.0,-21.8,-10.0,-21.8,-22.3,-22.2,-21.6,-22.6,-22.5,-22.5,-24.0,-16.9,1.9,22.5,18.0,10.0,0.2,-12.1,-8.8,8.0,15.0,7.3,15.0,-23.9,-7.0,-9.0
Zn,-7.6,-7.0,3.4,4.1,-31.4,-88.0,6.0,-3.5,0.6,-0.9,-17.8,13.0,-21.3,-29.2,-14.8,-1.6,4.7,-6.4,3.6,-5.1,-8.8,-3.7,0.0,0.0,-2.9,-6.0,14.0,-19.9,-30.7,-29.1,-1.3,11.8,4.0,-5.2,-17.3,-32.7,-3.8,1.0,2.9,1.0,-1.0,15.0,-20.0,-30.9,-30.9,-30.8,-30.8,-32.0,-30.7,-21.0,-30.7,-30.6,-30.5,-30.0,-30.4,-30.2,-30.2,-31.0,-23.7,-2.5,15.4,8.0,-1.0,-13.5,-28.7,-16.3,1.0,6.0,4.8,4.0,-30.0,-15.0,-20.0
Ga,-7.6,-9.0,4.7,5.6,-32.4,-95.0,5.0,-4.3,0.9,-0.4,-18.3,12.0,-27.4,-37.5,-23.1,-8.0,-0.6,-12.9,-1.7,-11.0,-15.0,-5.5,0.0,0.0,-2.9,-6.0,13.0,-26.3,-40.1,-39.7,-8.3,6.7,-10.0,-11.4,-24.8,-42.1,-5.0,1.0,2.7,0.9,-1.0,14.0,-26.6,-40.7,-40.5,-40.4,-40.2,-41.0,-40.1,-27.0,-40.1,-39.9,-39.7,-39.1,-39.5,-39.3,-39.2,-40.0,-33.6,-9.6,10.7,3.0,-7.0,-20.5,-37.5,-19.2,1.0,6.0,4.7,4.0,-39.3,-25.0,-29.0
Ge,-2.3,-34.5,8.6,11.5,-16.8,-78.5,-21.5,-14.3,-2.0,2.3,-4.6,-19.5,-46.1,-56.7,-39.5,-18.8,-6.3,-19.0,-3.4,-9.1,-11.3,-6.7,-2.9,-2.9,0.0,-12.5,-19.5,-46.1,-59.5,-60.3,-24.0,-0.8,-18.5,-5.6,-17.0,-30.9,-5.3,-14.5,-0.8,0.0,-10.5,-19.5,-47.0,-60.3,-60.1,-59.8,-59.7,-73.5,-59.6,-58.5,-59.5,-59.3,-59.1,-58.3,-58.8,-58.6,-58.4,-71.5,-52.5,-25.0,4.9,-7.5,-14.5,-11.5,-24.9,-9.4,-11.5,-9.5,4.7,-7.5,-59.4,-52.5,-56.5
As,-1.0,-29.0,7.0,10.0,-14.0,-59.0,-14.0,-21.0,-6.0,-17.0,-2.5,-11.0,-61.0,-77.0,-60.0,-35.0,-19.0,-31.0,-14.0,-18.0,-19.0,-3.0,-6.0,-6.0,-12.5,0.0,-12.0,-61.0,-80.0,-85.0,44.0,-16.0,-15.0,-14.0,-24.0,-36.0,-8.0,-4.0,-3.0,-1.0,3.0,-12.0,-66.0,-81.0,-81.0,-81.0,-80.0,-81.0,-80.0,-60.0,-80.0,-80.0,-80.0,-79.0,-79.0,-79.0,-59.0,-80.0,-75.0,-45.0,-9.0,-6.0,-11.0,-19.0,-31.0,-11.0,0.0,3.0,6.0,7.0,-82.0,-60.0,-62.0
Rb,-16.0,13.0,28.0,28.0,-44.0,-154.0,2.0,23.0,25.0,4.0,-24.5,0.0,15.0,64.0,100.0,100.0,94.0,69.0,83.0,57.0,47.0,27.0,14.0,13.0,-19.5,-12.0,0.0,10.0,56.0,95.0,130.0,125.0,67.0,62.0,33.0,-9.0,7.0,1.0,-4.0,-7.0,-24.0,0.0,9.0,52.0,53.0,55.0,55.0,57.0,56.0,13.0,56.0,58.0,58.0,57.0,59.0,59.0,16.0,61.0,98.0,125.0,129.0,98.0,72.0,44.0,9.0,-10.0,-11.0,-14.0,-23.0,-26.0,72.0,99.0,77.0
Sr,-40.4,0.0,-9.6,-16.7,-82.3,-206.0,-2.0,-3.9,-17.4,-31.3,-79.1,7.0,0.5,24.5,52.5,52.6,46.0,26.0,33.4,9.2,-1.0,-8.7,-19.9,-26.3,-46.1,-61.0,10.0,0.0,17.1,47.2,75.1,67.3,10.0,4.4,-21.6,-59.4,-26.8,-33.0,-36.8,-45.8,-66.0,14.0,0.0,13.5,14.7,15.9,15.9,18.0,17.1,0.0,17.1,18.4,18.3,17.8,19.6,19.4,19.4,21.0,49.4,71.5,68.7,39.0,13.0,-15.1,-48.9,-57.4,-45.0,-44.0,-55.6,-61.0,27.0,-48.0,33.0
Y,-56.3,8.0,-30.8,-48.9,-112.7,-232.0,28.0,-6.0,-38.1,-56.0,-112.3,50.0,10.9,0.9,15.1,16.6,11.0,-1.4,-1.1,-21.2,-30.6,-21.8,-30.7,-40.1,-59.5,-80.0,56.0,17.1,0.0,9.4,29.4,23.9,-29.0,-33.2,-53.5,-82.9,-29.3,-35.0,-36.0,-50.7,-68.0,62.0,19.5,0.2,0.1,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,11.4,27.0,23.6,-4.0,-28.0,-52.5,-82.4,-72.9,-43.0,-35.0,-47.7,-54.0,1.2,11.0,4.0
Zr,-65.0,27.0,-42.0,-70.1,-128.0,-233.0,59.0,5.7,-43.7,-66.3,-127.8,88.0,36.6,4.1,-0.2,-3.7,-12.0,-15.3,-24.6,-40.3,-48.4,-22.6,-29.1,-39.7,-60.3,-85.0,95.0,47.2,9.4,0.0,3.9,-6.2,-53.0,-58.4,-71.3,-90.7,-20.3,-26.0,-25.0,-43.5,-60.0,101.0,51.2,12.8,11.6,10.5,10.5,9.0,9.4,42.0,9.4,8.4,8.4,8.5,7.4,7.4,7.4,6.0,-0.2,2.7,-9.1,-35.0,-55.0,-76.1,-99.5,-73.9,-31.0,-19.0,-32.6,-40.0,4.2,-3.0,-3.0
Nb,-44.8,51.0,-24.3,-53.9,-99.8,-174.0,93.0,31.7,-18.2,-38.8,-90.4,123.0,62.3,17.8,2.0,-1.0,-7.2,-15.3,-15.7,-24.5,-29.9,2.6,-1.3,-8.3,-24.0,44.0,130.0,75.1,29.4,3.9,0.0,-5.7,-36.0,-40.6,-45.5,-52.5,16.4,11.0,15.5,-0.9,-11.0,135.0,79.5,35.9,33.6,31.5,31.4,29.0,29.5,69.0,29.4,27.5,27.4,27.8,25.5,25.4,25.3,23.0,3.9,0.0,-8.3,-26.0,-39.0,-52.9,-66.5,-32.1,11.0,26.0,17.3,12.0,19.7,4.0,9.0
Mo,-27.3,49.0,-6.7,-34.1,-65.8,-115.0,93.0,35.8,-5.1,-18.4,-53.7,120.0,55.4,10.5,-3.6,0.0,0.4,4.9,-2.0,-4.9,-7.3,18.5,11.8,6.7,-0.8,-16.0,125.0,67.3,23.9,-6.2,-5.7,0.0,-11.0,-14.4,-15.0,-14.6,37.2,28.0,32.4,20.3,17.0,128.0,71.0,31.1,28.6,26.2,26.2,23.0,23.9,63.0,23.9,21.7,21.6,22.3,19.5,19.4,19.3,17.0,-4.0,-4.9,-0.2,-7.0,-14.0,-21.4,-27.7,3.4,32.0,46.0,41.6,38.0,12.8,2.0,8.0
Tc,-21.0,8.0,-3.0,-25.0,-39.0,-68.0,47.0,3.0,-20.0,-38.0,-33.5,65.0,1.0,-39.0,-39.0,-21.0,-9.0,-8.0,-3.0,0.0,1.0,8.0,4.0,-10.0,-18.5,-15.0,67.0,10.0,-29.0,-53.0,-36.0,-11.0,0.0,0.0,0.0,4.0,24.0,10.0,11.0,5.0,8.0,69.0,11.0,-23.0,-25.0,-27.0,-27.0,-30.0,-29.0,6.0,-29.0,-30.0,-30.0,-29.0,-32.0,-32.0,1.0,-35.0,-47.0,-35.0,-7.0,0.0,0.0,-2.0,-3.0,14.0,18.0,25.0,26.0,23.0,-39.0,-31.0,-26.0
Ru,-19.8,5.0,-3.1,-24.5,-35.1,-61.0,44.0,0.0,-21.2,-21.0,-30.9,60.0,-3.5,-43.3,-43.2,-24.7,-11.5,-10.7,-4.6,-0.7,0.5,7.0,-5.2,-11.4,-5.6,-14.0,62.0,4.4,-33.2,-58.4,-40.6,-14.4,0.0,0.0,1.2,6.2,23.4,9.0,9.9,4.0,9.0,64.0,6.1,-27.6,-29.5,-31.5,-31.4,-35.0,-33.3,2.0,-33.2,-35.1,-35.0,-33.7,-36.7,-36.6,-36.5,-40.0,-51.5,-39.4,-9.8,-1.0,0.0,-0.6,-1.1,15.0,18.0,24.0,25.3,23.0,-44.3,-36.0,-30.0
Rh,-23.5,-14.0,-6.0,-25.2,-35.0,-63.0,19.0,-16.9,-31.9,-28.8,-34.6,31.0,-27.4,-60.4,-51.9,-29.4,-13.4,-16.2,-5.4,-2.1,-0.9,-2.5,-17.3,-24.8,-17.0,-24.0,33.0,-21.6,-53.5,-71.3,-45.5,-15.0,0.0,1.2,0.0,1.9,9.5,-6.0,-7.8,-12.5,-8.0,34.0,-20.8,-49.3,-50.8,-52.2,-52.1,-56.0,-53.6,-24.0,-53.5,-54.9,-54.7,-53.4,-56.0,-55.8,-55.7,-59.0,-63.1,-44.7,-9.2,1.0,2.0,0.6,-1.6,7.1,2.0,5.0,6.1,3.0,-62.8,-46.0,-42.0
